pregunta,row_id,numero,segmento,voto2,respuesta,codigos_asignados,definiciones_codigos,veredicto,observacion,codigos_sugeridos
q1,3,59894791455,Canelones,CM,Esta bien pero muy descendida en cuanto a exigencia,deterioro_y_decadencia_historica,"deterioro_y_decadencia_historica = Deterioro y Decadencia Histórica: Percepción de que la calidad educativa ha bajado en comparación con el pasado (""no es la de antes""), mencionando pérdida de nivel académico o de exigencia.",,,
q1,17,59891684861,Interior Coalición,CM,Buena valoración.,excelencia_y_satisfaccion,excelencia_y_satisfaccion = Excelencia y Satisfacción: Respuestas que mantienen una valoración positiva absoluta o satisfactoria de la educación actual.,,,
q1,28,59891916227,Montevideo,FA,La verdad es sensación de tristeza porque la educación pública viene hace tiempo en deterioro. Creo que cada vez se nota más.,deterioro_y_decadencia_historica,"deterioro_y_decadencia_historica = Deterioro y Decadencia Histórica: Percepción de que la calidad educativa ha bajado en comparación con el pasado (""no es la de antes""), mencionando pérdida de nivel académico o de exigencia.",,,
q1,29,59892978275,Interior Frente Amplio,FA,Lamentable está en decadencia,deterioro_y_decadencia_historica,"deterioro_y_decadencia_historica = Deterioro y Decadencia Histórica: Percepción de que la calidad educativa ha bajado en comparación con el pasado (""no es la de antes""), mencionando pérdida de nivel académico o de exigencia.",,,
q1,34,59898540831,Interior Frente Amplio,FA,Excelencia,excelencia_y_satisfaccion,excelencia_y_satisfaccion = Excelencia y Satisfacción: Respuestas que mantienen una valoración positiva absoluta o satisfactoria de la educación actual.,,,
q1,39,59897154628,Montevideo,FA,No tengo ninguno,excelencia_y_satisfaccion,excelencia_y_satisfaccion = Excelencia y Satisfacción: Respuestas que mantienen una valoración positiva absoluta o satisfactoria de la educación actual.,,,
q1,41,59899367292,Interior Coalición,CM,Creo que está muy descuidada la educación publica ya no se exige,deterioro_y_decadencia_historica,"deterioro_y_decadencia_historica = Deterioro y Decadencia Histórica: Percepción de que la calidad educativa ha bajado en comparación con el pasado (""no es la de antes""), mencionando pérdida de nivel académico o de exigencia.",,,
q1,43,59897222701,Interior Frente Amplio,FA,"Yo ya de esta altura no tengo niños escolares, pero por lo que he visto, la verdad que da lástima la educación acá en Uruguay porque en Uruguay se no sabe nada. Mucha tecnología.",deterioro_y_decadencia_historica,"deterioro_y_decadencia_historica = Deterioro y Decadencia Histórica: Percepción de que la calidad educativa ha bajado en comparación con el pasado (""no es la de antes""), mencionando pérdida de nivel académico o de exigencia.",,,
q1,45,59893884562,Montevideo,FA,Mucho interés.nEs la forma más democrática de desarrollar ciudadanos.,pilar_de_igualdad_y_democracia,"pilar_de_igualdad_y_democracia = Pilar de Igualdad y Democracia: Valoración de la educación como herramienta de ascenso social, equidad, base de la ciudadanía y derecho universal (Gratuita, Laica y Obligatoria).",,,
q1,50,59898710653,Interior Coalición,CM,En el interior es bastante buena,excelencia_y_satisfaccion,excelencia_y_satisfaccion = Excelencia y Satisfacción: Respuestas que mantienen una valoración positiva absoluta o satisfactoria de la educación actual.,,,
