"codigo","descripcion"
"Micro - Incentivos Empleo","Comentarios que proponen que el gobierno estimule la contratación laboral directa mediante subsidios, beneficios fiscales, programas de apoyo o compensaciones económicas dirigidas a empleadores. El foco está en reducir el costo o riesgo de contratar nuevos trabajadores. Palabras clave relevantes: subsidio, beneficio, exoneración, incentivo, contratar, apoyo a empresas."
"Macro - Incentivos Inversion","Comentarios que proponen que el gobierno genere empleo indirectamente a través de incentivos a la inversión, crecimiento del sector privado, atracción de capital nacional o extranjero, o mejora del entorno económico general. Palabras clave relevantes: inversión, atraer empresas, capital, crecimiento, desarrollo productivo."
"Reduccion Estado","Comentarios que propongan explícitamente reducir el tamaño del Estado, incluyendo recorte de personal público, disminución de dependencias estatales o reducción de funciones gubernamentales, aunque también mencionen incentivos, competitividad o beneficios económicos. La clasificación se basa en presencia de palabras clave concretas: achicar, reducir, recorte, despedir, personal público, Estado, burocracia, funciones estatales. Excluye comentarios que hablen únicamente de incentivos, subsidios, competitividad o generación de empleo sin referencia a reducción del Estado o personal público."
"Empleo genérico","Comentarios que proponen mejorar la situación laboral de manera general, sin especificar medidas concretas, responsables o mecanismos de implementación. Incluye menciiones como “más trabajo”, “ dar más oportunidades de trabajo”, “Generar fuentes de trabajo”"
"Prioridad Trabajadores Nacionales","Comentarios que mencionan el empleo en relación con extranjeros o inmigrantes, proponiendo que los uruguayos deben tener prioridad o igualdad de oportunidades sobre los extranjeros en la contratación o generación de empleo. Excluye comentarios sobre empleo general sin referencia a extranjeros, medidas económicas generales, subsidios o programas específicos de formación, y cualquier propuesta inclusiva que no diferencie entre nacionales y extranjeros. incluye menciones como “dando las mismas posibilidades a los uruguayos que a los extranjeros”, “darle más trabajo a los uruguayos y no tanto a la gente extranjera que viene afuera”. "
"Regulacion","Se aplica a comentarios que propongan medidas de regulación, controles, supervisión o garantías para mejorar las condiciones laborales, incluyendo empleo estable, cumplimiento de derechos y apoyo a capacitación o desarrollo profesional. Palabras clave: regulación, control, supervisión, garantías, derechos laborales, estabilidad, cumplimiento, capacitación. Excluye comentarios que hablen únicamente de creación de empleo general, incentivos fiscales, reducción del Estado o inversión privada sin mención a regulación, garantías o controles."
"Crítica Autoregulacion","Se aplica a comentarios que critican explícitamente políticas de autorregulación del mercado, señalando que estas afectan negativamente el empleo o las oportunidades laborales. Palabras clave: autorregulación, mercado, liberalización, libre mercado, desregulación. Excluye comentarios neutrales o positivos sobre autorregulación, subsidios, reducción del Estado, empleo público o creación de empleo sin referencia a autorregulación."
"Interpartidario","Comentarios que mencionen la necesidad de colaboración entre partidos políticos para abordar problemas de seguridad. Palabras clave: todos los partidos, colaboración política, unidad, consenso, apoyo interpartidario. "
"Presencia Polical","Comentarios que proponen aumentar el control o la presencia policial en espacios públicos para mejorar la seguridad. Palabras clave: policía, patrullaje, control, presencia policial, vigilancia en calles, barrios. Excluye comentarios sobre medidas de infraestructura, inversión tecnológica o regulación que no mencionen presencia policial directa."
"Infraestructura para Seguridad ","Comentarios que proponen inversiones físicas o ambientales para prevenir delitos, como iluminación, cámaras, mantenimiento urbano o adaptaciones de espacios públicos. Palabras clave: iluminación, cámaras, espacios públicos, adaptaciones urbanísticas, puntos ciegos, mantenimiento. Excluye comentarios que mencionen solo policía, patrullaje, leyes o sanciones sin referencia a infraestructura o prevención ambiental."
"Corrupcion","Comentarios que expresan la necesidad de dar el ejemplo o actuar éticamente para mejorar la situación. Palabras clave: corrupción, robar, dar el ejemplo, ética, transparencia. Excluye comentarios sobre seguridad, sanciones o empleo que no mencionen corrupción ni comportamiento ético."
"Coaccion/Mano Dura","Comentarios que proponen sanciones más severas o ampliar facultades coercitivas de las fuerzas policiales para prevenir delitos. Palabras clave: leyes más severas, castigo, mano dura, sanciones, coerción, policía más fuerte. Excluye comentarios que mencionen solo prevención social, infraestructura o incentivos sin referencia a sanciones o coerción."
"Narcotráfico/Drogas","Comentarios que identifiquen explícitamente a las drogas o al narcotráfico como principal causa de inseguridad. Palabras clave: droga, narcotráfico, drogas ilegales, consumo, tráfico. Excluye comentarios sobre delincuencia en general sin mención a drogas o narcotráfico."
"Problemas Sociales","Comentarios que propongan políticas públicas para abordar problemas sociales (desempleo, desigualdad, pobreza) como forma de mejorar la seguridad o bienestar general. Palabras clave: empleo, desigualdad, pobreza, políticas públicas, infraestructura, servicios públicos, oportunidades. Excluye comentarios que solo mencionen sanciones, policía, regulación o narcotráfico sin abordar problemas sociales."
"Mejorar Calidad - General","Comentarios que propongan mejorar la calidad del servicio de transporte, priorizando eficiencia, confort o confiabilidad sobre reducción de precios u otras soluciones. Palabras clave: calidad, servicio, confiabilidad, eficiencia, comodidad. Excluye comentarios que mencionen únicamente precio, infraestructura o control de tránsito. "
"Nuevas Empresas","Comentarios que propongan crear nuevas empresas de transporte para aumentar la competencia y cubrir la demanda de pasajeros. Palabras clave: nuevas empresas, competencia, ampliar oferta, transporte público. Excluye comentarios sobre mejorar la gestión de empresas existentes o intervención estatal."
"Responsabiliad Empresas","Comentarios que atribuyan la responsabilidad del transporte a las empresas privadas, no al gobierno. Palabras clave: empresa, operador, responsabilidad, gestión privada. Excluye comentarios que mencionen medidas del gobierno, regulación o intervención estatal."
"Agilizar Cambios","Comentarios que proponen acelerar la implementación de medidas o cambios ya anunciados, sin sugerir nuevas soluciones. Palabras clave: agilizar, acelerar, implementar, cambios prometidos, medidas anunciadas. Excluye comentarios que propongan nuevas políticas, infraestructura o empresas."
"Pesimismo","Comentarios que expresen falta de esperanza o expectativas negativas sobre la posibilidad de mejorar el transporte. Palabras clave: no espero nada, imposible, siempre igual, sin solución. Excluye comentarios que propongan medidas concretas o soluciones."
"Control Transito / Fiscalizacion ","Comentarios que propongan soluciones basadas en mayor control de tránsito o fiscalización para mejorar la movilidad. Palabras clave: control, fiscalización, agentes de tránsito, multas, estacionamiento, supervisión. Excluye comentarios que mencionen infraestructura, calidad del servicio o precio del boleto sin referencia a control o fiscalización."
"Infraestructura / Señaletica","Comentarios que propongan mejorar la infraestructura vial, calles y señalización para resolver problemas de movilidad. Palabras clave: infraestructura, calles, señalización, semáforos, flechas, mantenimiento vial. Excluye comentarios sobre control policial, fiscalización, calidad del servicio o precio del boleto."
"Precio Boleto","Comentarios que propongan la reducción del precio del transporte público como solución principal. Palabras clave: bajar precio, tarifa, boleto, costo, más barato. Excluye comentarios sobre calidad del servicio, infraestructura, control o nuevas empresas sin referencia al precio."
"Presupuesto","Comentarios que mencionen la falta de recursos o la necesidad de mayor financiamiento en educación, incluyendo docentes, infraestructura o materiales. Palabras clave: presupuesto, recursos, financiamiento, fondos, escasez de docentes, escasez de materiales. Excluye comentarios sobre mejoras privadas, eficiencia o apoyo docente sin referencia explícita a recursos o financiamiento."
"Garantizar Calidad/Eficiencia ","Comentarios que mencionen el rol del Estado o gobierno en garantizar educación de calidad y eficiencia, incluyendo selección de personal idóneo, planificación, infraestructura o implementación de soluciones. Palabras clave: Estado, gobierno, garantizar, calidad, eficiencia, aprendizaje, docentes, infraestructura, planificación, soluciones. Excluye comentarios que hablen solo de recursos, apoyo docente o controles de gastos sin referencia explícita a garantizar calidad o eficiencia."
"Controles Gastos","Comentarios que propongan que las escuelas o el Estado realicen supervisión o control del gasto educativo, para mejorar eficiencia o uso de recursos. Palabras clave: control de gastos, supervisión, administración, auditoría, eficiencia, manejo de fondos. Excluye comentarios sobre presupuesto general, selección de docentes, calidad educativa o apoyo docente sin mención a control de gastos."
"Apoyo Docentes ","Comentarios que propongan apoyo directo a docentes o equipos educativos, incluyendo protección, formación, resguardo o acompañamiento en sus funciones. Palabras clave: apoyo, docentes, resguardo, formación, acompañamiento, personal educativo. Excluye comentarios que hablen de presupuesto, infraestructura, control de gastos o calidad educativa sin mención al apoyo del personal docente."
"Subsidios","Comentarios que propongan o mencionen la necesidad de subsidios o reducción de precios para medicamentos, atención médica o servicios de salud, especialmente para aumentar el acceso. Palabras clave: subsidio, gratuito, bajo costo, precio reducido, medicamentos, atención médica, psicología, psiquiatría. Excluye comentarios sobre mejoras generales del sistema, aumento de personal o control de instituciones privadas sin referencia a subsidios o reducción de costos."
"Salud - General","Comentarios que propongan mejorar el sistema de salud en general, sin mencionar medidas concretas, responsables ni mecanismos de implementación. Palabras clave: mejorar salud, sistema de salud, atención médica, emergencias, disponibilidad de medicación. Excluye comentarios que mencionen subsidios, personal, regulación de privados o control de gastos."
"Personal de Salud","Comentarios que mencionen la necesidad de aumentar o mejorar el personal médico, incluyendo especialistas y personal capacitado. Palabras clave: personal, médicos, especialistas, enfermeros, capacitado, contratar, más horas, disponibilidad. Excluye comentarios que hablen solo de subsidios, control de privados o mejoras generales sin referencia a personal."
"Control Privados","Comentarios que proponen regular o controlar a mutualistas, sociedades privadas o prestadores de salud para reducir precios de atención o medicamentos. Palabras clave: regular, controlar, mutualistas, sociedades privadas, precios, costos, cobros, tarifas. Excluye comentarios sobre subsidios, mejoras generales del sistema o aumento de personal sin referencia a control de privados."
"Politicas Publicas Existentes","Comentarios que mencionen la necesidad de que políticas públicas ya implementadas funcionen correctamente, incluyendo seguimiento, cumplimiento o eficacia de medidas existentes. Palabras clave: política pública, medidas existentes, implementación, funcionamiento, cumplir, seguimiento, eficacia. Excluye comentarios que propongan nuevas políticas, incentivos, subsidios o soluciones sin referencia a políticas existentes."
"No Sabe / No Contesta","Comentarios que indiquen explícitamente que el autor no sabe, no tiene opinión o no responde a la pregunta. Palabras clave: no sé, no sabe, no tengo idea, no contesto, no opino, no respondo."
"Sin Clasificar","Comentarios que no encajan en ninguna categoría existente por ser ambiguos, generales, irrelevantes o de un tema completamente nuevo. Se aplica solo por exclusión y no interpreta ni asume contexto. Excluye comentarios que puedan clasificarse claramente en cualquier categoría existente."
