id,question
r1_q1,Pensando en el desempeño que ha tenido hasta el momento el Presidente Yamandú Orsi ¿Ud…
r1_q2,¿Por qué motivos?
r1_q3,"Ahora, pensando en el desempeño del anterior Presidente Luis Lacalle Pou ¿Ud…"
r1_q4,¿Por qué motivos?
r1_q5,Pensando en el actual Presidente Yamandú Orsi ¿Cómo cree que será su gobierno? ¿Qué espera de este nuevo gobierno?
r1_q6,"Ahora, qué cree que podría o debería hacer el Presidente Yamandú Orsi (por ejemplo, qué acciones, medidas, políticas a tomar, señales…) para que Ud. sienta que está cumpliendo con esto que nos mencionó que espera?"
r1_q7,"¿Y cuánto tiempo considera que le tomará al Presidente Yamandú Orsi para cumplir con los objetivos de su gobierno, planteados en campaña?"
r2_q1,¿En cuáles áreas cree que se destacó positivamente el gobierno anterior del Presidente Luis Lacalle?
r2_q2,¿Por qué motivos?
r2_q3,¿En cuáles áreas cree que el actual gobierno de Yamandú Orsi debe cambiar y mejorar en relación al anterior?
r2_q4,¿Por qué motivos?
r2_q5,"Pensando en atributos como la unidad, la democracia, la solidez, la transparencia, la confiabilidad, y otros… ¿Con cuáles atributos te gustaría que se destaque el Uruguay en el gobierno de Yamandú Orsi?"
r2_q6,"Ahora, pensando en la información que Ud recibe cotidianamente ¿Cree el gobierno actual debería haber realizado más anuncios sobre su gestión en lo que lleva de gobierno o que está bien la cantidad de anuncios que ha realizado?"
r2_q7,¿Por qué motivos? ¿Cómo evalúa los anuncios que ha emitido el gobierno actual sobre su gestión -y su cantidad-?
r2_q8,Pensando en el gobierno actual ¿Cómo visualiza Ud el rumbo que parece tener este gobierno con respecto a lo que quieren hacer a nivel nacional? Considera que…
r2_q9,¿Por qué motivos?
r3_q1,"Pensando en las oportunidades ¿Para vos qué significa que el gobierno nacional te de o te ofrezca oportunidades? 
"
r3_q2,¿Cómo evalúas la forma en la que la coalición ha estado actuando como oposición al gobierno nacional de Yamandú Orsi?
r3_q3,¿Por qué motivos?
r3_q4,"En los primeros 100 días de gobierno, para vos ¿Cuál fue la acción o el anuncio del gobierno de Yamandú Orsi, que más te gustó? ¿Por qué motivos?"
r3_q5,"Y pensando ahora en la acción o el anuncio del gobierno de Yamandú Orsi que menos te gustó ¿Cuál fue y por qué?"
r3_q6,"Ahora, pensando en las figuras que integran actualmente el gobierno nacional ¿Qué integrante del gobierno de Yamandú Orsi crees que se está desempeñando mejor o que se está destacando positivamente en su gestión? ¿Por qué motivos?"
r3_q7,"Y pensando en el integrante del gobierno de Yamandú Orsi que se está desempeñando peor en su gestión para vos quién es y por  qué motivos?"
r3_q8,"En los próximos meses, ¿Qué medidas te gustaría que tomara o anunciara el gobierno nacional de Yamandú Orsi?"
r4_q1,"¿Ha leído, visto o escuchado de que existe un bono Volver a Clase de $2500?
"
r4_q2,¿Qué opinas sobre esta medida?
r4_q3,"Pensando en la economía del país y de la familia, ¿Cómo percibiste que fue la economía uruguaya y de las familias durante el gobierno anterior de Luis Lacalle Pou y que hereda el gobierno actual? "
r4_q4,"Pensando nuevamente en los últimos anuncios del gobierno nacional… El gobierno de Yamandú Orsi anunció cinco medidas económicas para las zonas fronterizas con Brasil, 
	¿ha visto,  leído o escuchado sobre estas medidas?
"
r4_q5,¿Qué opinas sobre esta medida?
r4_q6,"Ahora, pensando en el anterior gobierno de Luis Lacalle Pou ¿Cuál cree usted que fue el rumbo de dicho gobierno?"
r4_q7,"Para terminar, pensando en el actual gobierno de Yamandú Orsi ¿Cuál cree usted que es el rumbo de este gobierno?"
r5_q1,"¿Ha leído, visto o escuchado que el gobierno nacional emitió una Alerta pública de nivel rojo por frío extremo exclusiva para personas en situación de calle y animales a la intemperie?"
r5_q2,¿Qué opinas sobre esta medida?
r5_q3," ¿Conoces a Sebastián Da Silva? ¿Qué opinas sobre él? ¿Qué sensaciones te genera?
"
r5_q4," Ahora, pensando en Alejandro “Pacha” Sánchez” ¿Lo conoces? ¿Qué opinas sobre él? ¿Qué sensaciones te genera?"
r5_q5,Por último… a Blanca Rodríguez ¿La conoces? ¿Qué opinas sobre ella? ¿Qué sensaciones te genera?
r5_q6,"Ahora, nos gustaría saber cómo percibes a la oposición del gobierno actual… Consideras que es una oposición… "
r5_q7,"Finalmente ¿Qué opinas sobre la oposición del gobierno actual? ¿Cómo crees que actúa? 
"
