codigo,descripcion
CREDULIDAD,"Textos donde la persona describe rasgos personales de ingenuidad, confianza excesiva o credulidad, indicando que los individuos creen fácilmente en lo que ven, leen o escuchan. Incluye menciones a inocencia, ingenuidad o facilidad de engaño. Se excluyen referencias a falta de información específica o factores externos que facilitan la estafa."
FALTA INFORMACIÓN,"Textos donde la persona indica desconocimiento, ignorancia o falta de información específica sobre temas digitales o de seguridad. Incluye comentarios sobre desconocimiento de redes, tecnologías o procedimientos de protección. Se excluyen juicios de carácter personal sobre ingenuidad o comportamiento imprudente."
FALTA COMPORTAMIENTO PREVENTIVO,"Textos donde la persona señala ausencia de acciones preventivas concretas: no verificar, dar datos fácilmente, actuar con prisa o distracción, no chequear fuentes. Incluye imprudencia en la interacción con mensajes, correos o transacciones. Se excluyen comentarios sobre rasgos personales o factores externos estructurales."
SITUACIÓN PERSONAL VÍCTIMA,"Textos donde la persona atribuye la propensión a ser víctima a condiciones personales o emocionales: necesidad económica, desesperación, miedo, afán de lucro, buena fe o empatía. Se excluyen juicios de credulidad, falta de información o factores externos estructurales."
SEBO (Gancho/Atractivo de la Estafa),"Textos donde la persona describe el atractivo, gancho o persuasión de la estafa: ofertas increíbles, simulación de urgencia, clonación de voz/imagen, elementos que hacen la estafa convincente. Se excluyen referencias a la víctima o a factores externos como bancos o estado."
VULNERABILIDAD ESPECÍFICA (Edad/Aislamiento),"Textos donde la persona identifica factores de vulnerabilidad ligados a edad avanzada o aislamiento social, más allá de falta de información general. Incluye comentarios sobre personas mayores, solas o con escasa supervisión. Se excluyen factores emocionales, credulidad general o exposición digital masiva."
EXPOSICIÓN DIGITAL/DEPENDENCIA,"Textos donde la persona describe la alta exposición a medios digitales o dependencia tecnológica como factor de riesgo: uso intensivo de internet, redes sociales, teléfonos u otras plataformas. Se excluyen factores personales de credulidad, falta de información o vulnerabilidad específica."
CRÍTICA SISTÉMICA (Bancos/Estado/IA),"Textos donde la persona atribuye responsabilidad a factores externos o estructurales, como inacción de bancos, ausencia de control estatal o uso de tecnologías (IA) que facilitan las estafas. Se excluyen juicios sobre características personales, comportamiento preventivo o atractivo de la estafa."
Otras/NS/NR,"Textos incomprensibles, irrelevantes o donde la persona no sabe/no recuerda. Incluye respuestas sin contenido claro relacionado con estafas o prevención. Se excluyen comentarios claramente codificables en otros códigos."

