cat_cerrada,codigo,descripcion
Empleo,Empleo – General,"Comentarios que expresan la falta de empleo o de oportunidades laborales de manera genérica, sin atribuirla a una causa específica ni a un grupo particular. Incluye afirmaciones amplias como “no hay trabajo”, “no hay oportunidades”, “falta de empleo”. Palabras clave: no hay trabajo, no hay oportunidades, desempleo, falta de empleo. Excluye referencias a causas concretas, experiencias personales detalladas o condiciones laborales específicas."
Empleo,Empleo – Directo,"Comentarios que describen la situación laboral personal del emisor, formulados explícitamente en primera persona, indicando no tener empleo, haberlo perdido o no poder acceder a uno. El criterio operativo central es la presencia de marcas gramaticales de primera persona (yo, me, mi, estoy, perdí, no consigo). Incluye expresiones como “estoy sin trabajo”, “perdí mi empleo”, “no puedo conseguir trabajo”. Excluye referencias a terceros, situaciones impersonales o diagnósticos generales del mercado laboral."
Empleo,Empleo – Indirecto,"Comentarios que describen la situación laboral de terceros cercanos al emisor, formulados en tercera persona, generalmente dentro del núcleo familiar o entorno inmediato, indicando que no tienen empleo, lo perdieron o no pueden acceder a uno. Incluye referencias como “mi pareja”, “mi hijo”, “mis padres”. Excluye la situación laboral del propio emisor y menciones generales sin vínculo personal explícito."
Empleo,Calidad laboral / Sueldos,"Comentarios que expresan insatisfacción con el salario, los beneficios o la relación entre remuneración y exigencias laborales. Incluye referencias a sueldos bajos, falta de aumentos, beneficios insuficientes o sobrecarga laboral mal remunerada. Palabras clave: salario bajo, poco sueldo, no hay aumentos, muchas exigencias. Excluye menciones a estabilidad laboral o riesgo de despido sin referencia salarial."
Empleo,Inseguridad laboral,"Comentarios que describen falta de estabilidad o previsibilidad en el empleo. Incluye referencias a contratos temporales, zafras cortas, precariedad, cambios frecuentes de condiciones o riesgo de despido. Palabras clave: contrato corto, inestabilidad, precariedad. Excluye quejas centradas únicamente en salario o beneficios."
Empleo,Empresas,"Comentarios que atribuyen la falta de empleo u oportunidades a la situación general de empresas o del mercado empresarial. Incluye cierres, quiebras, reducción de contrataciones o recortes de personal. Palabras clave: cierre de empresas, despidos, quiebra. Excluye experiencias laborales individuales sin referencia al contexto empresarial general."
Empleo,Insatisfacción profesional,"Comentarios que expresan desajuste entre la formación, expectativas o intereses profesionales y las tareas realizadas. Incluye referencias a trabajar fuera del área de estudio, no utilizar habilidades o falta de desarrollo profesional. Palabras clave: no es lo que estudié, fuera de mi área, no uso mis habilidades. Excluye quejas sobre salario, estabilidad o situación empresarial."
Empleo,Recursos Económicos,"Comentarios que expresan dificultades económicas personales o familiares vinculadas a insuficiencia de ingresos o falta de dinero. Incluye menciones explícitas a que “no alcanza la plata”, “sin ingresos”, “dificultades económicas”. Palabras clave: no hay dinero, no alcanza, sin ingresos. Excluye críticas a políticas económicas o salarios generales sin referencia a la situación personal."
Empleo,Circunstancial,"Comentarios que describen problemas altamente específicos y personales, que afectan únicamente al encuestado o a su entorno inmediato, sin representar tendencias generales ni fallas estructurales del área de empleo. Incluye conflictos interpersonales, situaciones de salud aisladas, dificultades administrativas o de acceso individuales. Excluye problemas generales o estructurales que puedan afectar a múltiples personas."
Empleo,Sin Problemas,"Comentarios que indican explícitamente ausencia de dificultades o inconvenientes durante el período de referencia en el área de empleo. Palabras clave: ningún problema, todo bien, sin inconvenientes, ninguna dificultad, normal. Excluye comentarios que describan problemas o conflictos, incluso leves."
Empleo,Sin Clasificar,"Comentarios que no encajan en ninguna categoría existente dentro del tema empleo, por ser ambiguos, irrelevantes, demasiado generales o referirse a subtemas no contemplados. Se aplica únicamente por exclusión de otras categorías. Excluye comentarios que claramente correspondan a códigos definidos en empleo."
Empleo,No Sabe / No Contesta,"Comentarios que expresan desconocimiento, falta de opinión o ausencia de respuesta sobre cuestiones relacionadas con empleo. Palabras clave: no sé, no sabe, no tengo idea, no contesto, no opino, no respondo. Excluye comentarios que proporcionen información, evaluación o percepción sobre empleo."
